month,year,know_auto_pct,phys_auto_pct,unemployment_rate,total_pop_m,employed_m,unemployed_m,total_income_bn,total_consumption_bn,total_human_svc_bn,total_auto_goods_bn,total_wealth_bn,total_debt_bn,aggregate_mpc,human_svc_share,gini,enterprise_revenue_bn,yeomen_share,platform_share,yeomen_alive_pct,firms_alive,firms_dead,mpc_transitional,mpc_knowledge_high_exposure,mpc_creative_craft,mpc_physical_high_exposure,mpc_knowledge_low_exposure,mpc_small_business_owner,mpc_non_labour,mpc_skilled_physical,mpc_care_low_exposure
20,2027.6666666666667,15.388099905186511,2.4426871446858565,0.1986050644158152,117.05200000000039,93.80488000000031,23.24712000000008,5.780555108569917,5.118371751931965,0.8774276664620853,4.2409440854698826,31.70486856713412,2.7412194804967847,0.8854464071008964,0.17142710787486157,0.4182579495074509,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8883628760142754,0.8220305805079992,0.8530825190083094,0.8754793594933558,0.811246782483326,0.7951362324990577,0.988914163532455,0.8217512995878254,0.8489425490257843
21,2027.75,16.11436793772801,2.5481991176114076,0.1986050644158152,117.05200000000039,93.80488000000031,23.24712000000008,5.780555108569917,5.119254664688063,0.8749838207028794,4.244270843985194,31.700679525296678,2.6955843412300515,0.8855991455039589,0.17092015889312975,0.4182579495074509,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8885184706512151,0.8222408206682075,0.8534922080094116,0.8755550562940604,0.8116378570385314,0.7953886277772244,0.9888130699429976,0.8221988158148468,0.8493507232731021
22,2027.8333333333333,16.856227368511185,2.6558508059774164,0.19927143491781424,117.05200000000039,93.72688000000032,23.32512000000007,5.777717980264697,5.118444230271556,0.8722805428166047,4.24616368745495,31.6973126886098,2.650714992398407,0.8858937469351978,0.17041907727698857,0.4186204278115849,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8897494299942058,0.8227890445753793,0.8538666637298411,0.8755932463845079,0.811994322380707,0.7956089559468406,0.9886829975983601,0.8226101004396268,0.8497226627840814
23,2027.9166666666667,17.613521113472036,2.765677759648654,0.19927143491781424,117.05200000000039,93.72688000000032,23.32512000000007,5.777717980264697,5.119006614280449,0.8698514899202145,4.249155124360229,31.695058966894766,2.606784089555542,0.8859910836364376,0.16992583824634985,0.4186204278115849,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8899204818390793,0.8230365523610327,0.8542697362733556,0.8752109037046003,0.8123806290196552,0.795860769691447,0.9885882478815468,0.823050166090621,0.849930881059058
24,2028.0,18.386058147526235,2.8777157714205566,0.1996890270990671,117.05200000000039,93.67800000000031,23.37400000000008,5.771771206571129,5.114560438926944,0.8666347523372144,4.247925686589725,31.693625570855485,2.5635816639144364,0.886133607150617,0.16944462044895456,0.4183460287880425,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.890077309519543,0.82474683896793,0.8546491847267246,0.8752499248638765,0.8127442881547158,0.796092964712933,0.9884753734670719,0.8202321335814369,0.8503126224875888
25,2028.0833333333333,19.173612698308705,2.9920008617184743,0.20162594402487785,117.05200000000039,93.45128000000031,23.60072000000008,5.765856265950621,5.108259458075725,0.8633201948349123,4.24493926324083,31.693305678352942,2.5212472607175243,0.8859498437797986,0.16900476608917667,0.41927014786349315,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8903188954853808,0.8244483778662586,0.8549538410451311,0.8752945197085078,0.8130319958498837,0.7990784542216295,0.9882916496817079,0.8168708887217234,0.8506178335276725
26,2028.1666666666667,19.97592356911411,3.108569262372492,0.20304753442914258,117.05200000000039,93.28488000000031,23.767120000000077,5.758597398960024,5.102296292297127,0.8601494966901858,4.2421467956069545,31.693792952784012,2.4796189745730697,0.8860310834055837,0.16858085995294764,0.4196602015000849,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8904607092553232,0.8246766499986573,0.8548132890763778,0.8752939685179062,0.8133424217376015,0.7992543170750247,0.9881358872820958,0.8164887575389606,0.8509455310311715
27,2028.25,20.792693602931305,3.227457399443096,0.2045935139937805,117.05200000000039,93.10392000000031,23.948080000000076,5.755078055630284,5.099582509654769,0.8575515692005519,4.242030940454226,31.695407822586745,2.4389798665200035,0.8861013630676593,0.16816113232347846,0.42009854779993916,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8906028723253607,0.8248209324665338,0.8551338115278557,0.8746297211139946,0.8136379215056995,0.8010547453000167,0.9879767698221553,0.8166901626871397,0.851265909089555
28,2028.3333333333333,21.62358929891745,3.3487018750730466,0.2049489115948466,117.05200000000039,93.06232000000033,23.989680000000064,5.753883117850492,5.09885083114537,0.8550312616866885,4.243819569458688,31.69740973090515,2.3985657485928105,0.8861582216237603,0.16769097390806004,0.4204292248504746,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8907551224009739,0.8246464561213404,0.855509632208218,0.874325103295249,0.8139956876253259,0.8020922398978921,0.9878585752612147,0.8171176832257621,0.8513463346465258
29,2028.4166666666667,22.468240591936755,3.47233944834148,0.2071434917814303,117.05200000000039,92.80544000000033,24.24656000000006,5.7447303698646355,5.091861410389912,0.8518900368994782,4.239971373490442,31.700674260844053,2.3593946931462026,0.8863534200143657,0.16730424656908413,0.4213132700885832,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8908956716137815,0.8247223371903941,0.8540721094841586,0.8738360226732987,0.8153702947064653,0.8022288732930709,0.98767465865387,0.8172163988703761,0.8516307285529632
30,2028.5,23.326240804892393,3.5984070150966523,0.20827187916481535,117.05200000000039,92.67336000000034,24.378640000000047,5.732878945801667,5.0829447608527705,0.8479012423058013,4.235043518546971,31.70440804581734,2.3207437886839752,0.8866304013928535,0.16681299565481567,0.42085462174543753,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8910309986029646,0.8254819180111987,0.854409267956087,0.8734713414962113,0.8156847788180264,0.8022414368116636,0.987544393825103,0.8175999394618104,0.8519012133198258
31,2028.5833333333333,24.197146782507893,3.7269415867444082,0.20972012438916,117.05200000000039,92.50384000000035,24.54816000000004,5.729558252877388,5.080499102855604,0.845171789360649,4.235327313494945,31.70876534440878,2.282598205844686,0.8867174184509203,0.16635605523197555,0.4215498092354676,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8912475043611638,0.8258351099008484,0.8531448765121002,0.8729459270157426,0.8159815707688289,0.8023949058780674,0.9874008125829524,0.8179649226742532,0.8522197538649152
32,2028.6666666666667,25.08047921397114,3.8579802679702033,0.20996890270990626,117.05200000000039,92.47472000000036,24.57728000000003,5.728687568902985,5.079460671346428,0.8425576294139508,4.2369030419324885,31.714392792949212,2.2455201661697504,0.8866709189936011,0.16587541157014443,0.4217637006059186,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8914092932785165,0.8259696802063677,0.853004117224646,0.8724476465011238,0.8151822426640335,0.8026238548171813,0.9873195232231654,0.8184995855635647,0.8525948072524927
33,2028.75,25.97572315044634,3.9915602333733347,0.21163038649489083,117.05200000000039,92.28024000000035,24.771760000000043,5.717296628544395,5.070355223354502,0.8385441687344188,4.231811054620077,31.72063573844989,2.20906406556512,0.886844876657274,0.16538173989704125,0.42171803610619507,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8916239860786002,0.8262165728052445,0.8513718081796825,0.8721766156117717,0.8154675851191573,0.802863025073459,0.9871720612260193,0.8188475629813029,0.8528983331396863
34,2028.8333333333333,26.882328721898247,4.127718702992887,0.21412705464238063,117.05200000000039,91.98800000000037,25.06400000000002,5.699918309769677,5.056303710568514,0.83380755588679,4.222496154681721,31.727272235956946,2.173097807559638,0.8870835397591567,0.16490456341536483,0.4224443622570214,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8917414915905219,0.8266397346662717,0.8516464960307908,0.872076209040967,0.8152309697904202,0.8029856836497368,0.9869865422997104,0.8193862448977851,0.8531576281328427
35,2028.9166666666667,27.79971205597364,4.266492916706155,0.21515770768547243,117.05200000000039,91.86736000000039,25.18464,5.6944107936869255,5.051698934869055,0.830813910191033,4.220885024678033,31.734494315468414,2.13761383915194,0.887132860254759,0.16446227712748057,0.4229678297658811,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8918839970059189,0.8264179196596233,0.8519912495693296,0.8718113082033474,0.8155446656318858,0.803178042975797,0.9868752401790192,0.8197588147936081,0.8531301046487986
36,2029.0,28.727256399864725,4.407920107481276,0.21580630830741818,117.05200000000039,91.79144000000039,25.260559999999998,5.690385281938254,5.0488374563114755,0.8278872145373719,4.220950241774101,31.742476618539207,2.1028109615352575,0.8872575768000978,0.16397581061011235,0.42335978581708344,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.892040247744049,0.8267546501827785,0.8523527103842121,0.8717900759157081,0.8158921400711845,0.8032292003765192,0.9867850481325552,0.81983414198008,0.8529833299516872
37,2029.0833333333333,29.66431344416005,4.552037473467207,0.21649044868947068,117.05200000000039,91.71136000000038,25.340640000000008,5.687917552831186,5.046446130251987,0.8253219431371817,4.221124187114801,31.75123077677331,2.0686135282136404,0.8872220954996256,0.1635451804765367,0.42397181174027343,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8921906318404293,0.8269224369396945,0.8527096759117639,0.8718753099356973,0.8162188272691762,0.8034385240518533,0.9861330892697007,0.8202187786584505,0.853332173256716
38,2029.1666666666667,30.610204845695183,4.698882148905663,0.21726343847178964,117.05200000000039,91.62088000000038,25.431120000000007,5.678189550771716,5.038062926419887,0.8211433213157199,4.216919605104171,31.760809015466336,2.0351819685929544,0.8872657175974638,0.16298790493655763,0.42373930287821193,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8923343706577651,0.8270614755300866,0.8530609702779592,0.8718418973167293,0.8165755038758022,0.8036436943263926,0.9855565485217808,0.8198184100892612,0.8544773918045817
39,2029.25,31.56422394437574,4.848491173851112,0.21872945357618756,117.05200000000039,91.4492800000004,25.60271999999999,5.669304503950768,5.030346428331755,0.8179610694875039,4.212385358844248,31.771139655487,2.00243373117465,0.8872951567209447,0.1626053157851336,0.4246783529853454,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8924666751022499,0.8275240184241813,0.852492539618358,0.8715252542782567,0.8168705585268806,0.8037863065302413,0.9854364325245604,0.8198281860120249,0.8527096011809377
